pair,strategy,span,ann_return,ann_vol,sharpe,max_dd,win_rate,n_trades,avg_hold_days,exposure
BTC,conv,2021-01-01..2026-06-14,0.06470334775609787,0.015404929772641757,4.200171549694902,-0.07295623041038024,0.816747572815534,81,20.34567901234568,0.8277247614264189
BTC,galaxy,2021-01-01..2026-06-14,0.0013965314463482148,0.009744194033014249,0.1433193388408148,-0.05792587636785218,0.8117647058823529,63,8.095238095238095,0.25615268709191363
BTC,orient,2021-01-01..2026-06-14,0.003745286759903932,0.008827440538505078,0.42427776698886654,-0.036880439123515574,0.8,46,8.043478260869565,0.18583626318432947
ETH,conv,2021-01-01..2026-06-14,0.07419930694530419,0.018594588881856736,3.9903709308519613,-0.0994487568624991,0.8039927404718693,89,18.573033707865168,0.8302360622802611
ETH,galaxy,2021-01-01..2026-06-14,0.003566159383998846,0.010770658408212523,0.33109947867993694,-0.05471263840300056,0.7915057915057915,66,7.848484848484849,0.26017076845806125
ETH,orient,2021-01-01..2026-06-14,0.008536326093443014,0.009848364100396075,0.8667760458916933,-0.034679991891753525,0.7842639593908629,48,8.208333333333334,0.19789050728277247
BNB,conv,2021-01-01..2026-06-14,0.11123549807366606,0.022630791514916794,4.915227909741762,-0.016780489403685928,0.6646039603960396,63,25.650793650793652,0.8116524359618282
BNB,galaxy,2021-01-01..2026-06-14,0.04925353655497733,0.017671864991800616,2.7871159369896703,-0.02484463580530194,0.6870324189526185,73,10.986301369863014,0.40281265695630336
BNB,orient,2021-01-01..2026-06-14,0.026260462726386047,0.01646333116092735,1.5950880456508318,-0.038216423805564226,0.6657608695652174,68,5.411764705882353,0.18483174284279258
COMPOSITE,conv,,0.08328004554794677,0.014430679581516165,5.771041140336713,-0.029466710588352707,0.6977342945417095,10,194.2,0.9753892516323456
